player_id;player;negotiations;battles;total
3867997;LordChriss;12;9169;9193
851735;Kiee;0;6238;6238
849577727;Kris5407;20;6157;6197
849705427;Wlodzimierz2011;14;6062;6090
849374241;encypency;121;5606;5848
849127561;as200;133;5495;5761
3924777;zetzet;10;5485;5505
1883873;kolekcjoner03;183;4534;4900
4041098;lenarsun;23;3691;3737
4069953;ANDRZEJ1977;120;3278;3518
3217255;Irma;82;2974;3138
3680180;Flamber;0;3000;3000
1279580;Arkadiusz635;32;2858;2922
4029865;kumitus;140;2600;2880
3004064;Arii Arii;42;2640;2724
3160300;Alexx;6;2590;2602
3842759;SilverCrash;61;2354;2476
849064121;HenApo;80;2142;2302
849309544;Okeyka;15;2233;2263
849155848;evenezer;2;2250;2254
4169471;Eurydike 252 Szlachetna;20;2097;2137
849350675;SiD.;91;1650;1832
2284690;Trubibabur;4;1816;1824
4167211;Szipu;17;1615;1649
1672494;..IRCIA..;5;1495;1505
3912053;Malg5;0;1480;1480
3269633;swirunh1;0;1306;1306
1277454;Zuzia.;8;1270;1286
3690072;Ami*;5;1144;1154
849506096;zosia3456;0;1131;1131
4173068;hiszpan11;4;1101;1109
1927134;Belinus 29 Gnębiciel;11;1018;1040
2224850;RogerW;69;621;759
3903143;AZIRA;60;629;749
4120274;Belladonna*;10;715;735
340920;arbuz27;9;709;727
3310730;Belinus 88 Straszliwy;12;696;720
3561318;Imbleuuuu;0;657;657
849132471;koko koko;35;585;655
2888109;piotr74c;0;641;641
1425318;TRIB;0;630;630
3347761;Araxu;0;623;623
4150359;BenKiller;0;603;603
3858502;WiktoreQ221;0;584;584
849025082;antares0pl;12;552;576
2630854;andy96;0;532;532
799478;Dylu-Raf;0;523;523
802254;CineqW;0;519;519
626201;Gustlik 102;4;500;508
3320455;FrancuS1;0;501;501
1183462;Brainpan;0;472;472
849222671;-Tekla-;78;287;443
2253263;Gawlorek;2;435;439
146582;prion;0;407;407
674220;stempi;3;399;405
849425451;Mormider;15;356;386
773723;Pituś Malutki;50;269;369
2803523;Ury123;0;366;366
849033185;Patton 1985;0;347;347
849070129;Dawidf831;12;285;309
2854299;Dodyś;0;301;301
4157108;Mikołaj 138 Piękny;20;261;301
1040068;Doda21;0;300;300
848885148;Marcin XX Wielki;0;236;236
4207477;NiepokonanyBlake;0;120;120
849624824;Kendra Volcano;0;74;74
733438;nasze;5;35;45
2580060;Hit83;0;0;0
849039871;-SilverHead-;0;0;0
