player_id;player;negotiations;battles;total
3867997;LordChriss;5;7085;7095
849577727;Kris5407;20;5371;5411
849705427;Wlodzimierz2011;5;4701;4711
851735;Kiee;0;4687;4687
849127561;as200;116;4451;4683
3924777;zetzet;10;4497;4517
849374241;encypency;75;4355;4505
1883873;kolekcjoner03;87;3331;3505
4069953;ANDRZEJ1977;95;2700;2890
4041098;lenarsun;22;2458;2502
3842759;SilverCrash;61;2346;2468
1279580;Arkadiusz635;32;2280;2344
3217255;Irma;60;2164;2284
3680180;Flamber;0;2272;2272
849309544;Okeyka;15;2149;2179
4029865;kumitus;110;1900;2120
3004064;Arii Arii;42;1859;1943
849064121;HenApo;65;1766;1896
849155848;evenezer;2;1787;1791
3160300;Alexx;6;1479;1491
849350675;SiD.;71;1318;1460
2284690;Trubibabur;4;1433;1441
4169471;Eurydike 252 Szlachetna;20;1332;1372
4167211;Szipu;11;1350;1372
1277454;Zuzia.;8;1244;1260
1672494;..IRCIA..;5;1236;1246
3912053;Malg5;0;1178;1178
3690072;Ami*;5;1022;1032
4173068;hiszpan11;4;944;952
3269633;swirunh1;0;890;890
849506096;zosia3456;0;777;777
1927134;Belinus 29 Gnębiciel;11;703;725
3903143;AZIRA;52;581;685
4120274;Belladonna*;10;631;651
3561318;Imbleuuuu;0;646;646
3310730;Belinus 88 Straszliwy;12;619;643
1425318;TRIB;0;630;630
2888109;piotr74c;0;568;568
2224850;RogerW;43;423;509
3858502;WiktoreQ221;0;509;509
626201;Gustlik 102;4;500;508
340920;arbuz27;9;488;506
2630854;andy96;0;477;477
849025082;antares0pl;12;445;469
3347761;Araxu;0;448;448
849132471;koko koko;15;403;433
849222671;-Tekla-;69;236;374
2803523;Ury123;0;366;366
1183462;Brainpan;0;332;332
849033185;Patton 1985;0;321;321
1040068;Doda21;0;300;300
773723;Pituś Malutki;47;198;292
802254;CineqW;0;290;290
3320455;FrancuS1;0;285;285
674220;stempi;3;275;281
849425451;Mormider;9;259;277
2854299;Dodyś;0;260;260
4157108;Mikołaj 138 Piękny;16;221;253
849070129;Dawidf831;12;228;252
146582;prion;0;201;201
2253263;Gawlorek;0;169;169
799478;Dylu-Raf;0;139;139
848885148;Marcin XX Wielki;0;114;114
4150359;BenKiller;0;108;108
4207477;NiepokonanyBlake;0;79;79
849624824;Kendra Volcano;0;74;74
2580060;Hit83;0;0;0
733438;nasze;0;0;0
849039871;-SilverHead-;0;0;0
