player_id;player;negotiations;battles;total
3867997;LordChriss;12;9890;9914
851735;Kiee;0;8567;8567
849577727;Kris5407;43;8118;8204
849705427;Wlodzimierz2011;37;7543;7617
849127561;as200;164;7132;7460
3924777;zetzet;10;6745;6765
849374241;encypency;125;6268;6518
1883873;kolekcjoner03;223;5185;5631
4041098;lenarsun;23;4089;4135
4069953;ANDRZEJ1977;129;3872;4130
3217255;Irma;92;3575;3759
4029865;kumitus;170;3092;3432
3680180;Flamber;0;3393;3393
3160300;Alexx;7;3191;3205
1279580;Arkadiusz635;32;3008;3072
849155848;evenezer;2;2832;2836
3004064;Arii Arii;42;2672;2756
849309544;Okeyka;16;2575;2607
4169471;Eurydike 252 Szlachetna;20;2510;2550
849350675;SiD.;118;2313;2549
2284690;Trubibabur;4;2496;2504
3842759;SilverCrash;61;2354;2476
849064121;HenApo;80;2144;2304
1672494;..IRCIA..;5;1944;1954
3912053;Malg5;0;1905;1905
4167211;Szipu;21;1780;1822
3269633;swirunh1;0;1514;1514
1277454;Zuzia.;8;1270;1286
849506096;zosia3456;0;1251;1251
1927134;Belinus 29 Gnębiciel;17;1203;1237
3690072;Ami*;13;1144;1170
4173068;hiszpan11;4;1124;1132
3310730;Belinus 88 Straszliwy;13;990;1016
849132471;koko koko;42;881;965
849025082;antares0pl;18;920;956
2224850;RogerW;79;795;953
4120274;Belladonna*;12;926;950
3858502;WiktoreQ221;0;945;945
3903143;AZIRA;67;715;849
2888109;piotr74c;0;838;838
340920;arbuz27;13;771;797
802254;CineqW;0;725;725
3347761;Araxu;0;711;711
3561318;Imbleuuuu;0;677;677
799478;Dylu-Raf;0;634;634
1425318;TRIB;0;633;633
4150359;BenKiller;0;603;603
2630854;andy96;0;532;532
3320455;FrancuS1;0;527;527
773723;Pituś Malutki;70;385;525
626201;Gustlik 102;4;500;508
1183462;Brainpan;0;473;473
2253263;Gawlorek;2;453;457
849222671;-Tekla-;84;287;455
849033185;Patton 1985;6;413;425
849425451;Mormider;15;385;415
146582;prion;0;409;409
674220;stempi;3;402;408
849624824;Kendra Volcano;7;377;391
2854299;Dodyś;0;375;375
2803523;Ury123;0;371;371
849039871;-SilverHead-;0;368;368
733438;nasze;10;290;310
849070129;Dawidf831;12;285;309
4157108;Mikołaj 138 Piękny;20;261;301
1040068;Doda21;0;300;300
848885148;Marcin XX Wielki;0;236;236
4207477;NiepokonanyBlake;0;120;120
2580060;Hit83;0;11;11
