player_id;player;negotiations;battles;total
3867997;LordChriss;12;8913;8937
849577727;Kris5407;20;6141;6181
849705427;Wlodzimierz2011;5;5999;6009
851735;Kiee;0;5990;5990
849374241;encypency;121;5601;5843
849127561;as200;130;5346;5606
3924777;zetzet;10;5335;5355
1883873;kolekcjoner03;182;4409;4773
4041098;lenarsun;23;3691;3737
4069953;ANDRZEJ1977;110;3143;3363
3217255;Irma;76;2881;3033
3680180;Flamber;0;2909;2909
4029865;kumitus;140;2600;2880
3004064;Arii Arii;42;2640;2724
1279580;Arkadiusz635;32;2623;2687
3160300;Alexx;6;2494;2506
3842759;SilverCrash;61;2354;2476
849309544;Okeyka;15;2233;2263
849155848;evenezer;2;2250;2254
4169471;Eurydike 252 Szlachetna;20;2097;2137
849064121;HenApo;77;1972;2126
2284690;Trubibabur;4;1698;1706
849350675;SiD.;91;1510;1692
4167211;Szipu;17;1581;1615
3912053;Malg5;0;1480;1480
1672494;..IRCIA..;5;1450;1460
3269633;swirunh1;0;1306;1306
1277454;Zuzia.;8;1270;1286
4173068;hiszpan11;4;1101;1109
849506096;zosia3456;0;1089;1089
1927134;Belinus 29 Gnębiciel;11;1018;1040
3690072;Ami*;5;1022;1032
2224850;RogerW;69;621;759
3903143;AZIRA;60;629;749
4120274;Belladonna*;10;715;735
340920;arbuz27;9;709;727
3310730;Belinus 88 Straszliwy;12;696;720
3561318;Imbleuuuu;0;657;657
2888109;piotr74c;0;641;641
1425318;TRIB;0;630;630
3347761;Araxu;0;599;599
4150359;BenKiller;0;579;579
849025082;antares0pl;12;521;545
3858502;WiktoreQ221;0;540;540
2630854;andy96;0;532;532
799478;Dylu-Raf;0;523;523
626201;Gustlik 102;4;500;508
3320455;FrancuS1;0;501;501
1183462;Brainpan;0;472;472
849132471;koko koko;20;416;456
849222671;-Tekla-;78;287;443
2253263;Gawlorek;2;435;439
146582;prion;0;407;407
802254;CineqW;0;406;406
674220;stempi;3;393;399
849425451;Mormider;15;345;375
2803523;Ury123;0;366;366
773723;Pituś Malutki;50;258;358
849033185;Patton 1985;0;321;321
849070129;Dawidf831;12;285;309
2854299;Dodyś;0;301;301
4157108;Mikołaj 138 Piękny;20;261;301
1040068;Doda21;0;300;300
848885148;Marcin XX Wielki;0;154;154
4207477;NiepokonanyBlake;0;120;120
849624824;Kendra Volcano;0;74;74
733438;nasze;5;35;45
2580060;Hit83;0;0;0
849039871;-SilverHead-;0;0;0
